config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,4,29,False,50,2026-09-07 22:37:30.461443,1788791850461443,Memtable Max Range Deletions,512,14859,240829,52782,foreground
Native-T512,4,30,False,51,2026-09-07 22:37:30.520460,1788791850520460,Memtable Max Range Deletions,512,15371,230358,51485,foreground
Native-T512,4,31,False,52,2026-09-07 22:37:30.575771,1788791850575771,Memtable Max Range Deletions,512,15883,232622,51658,foreground
Native-T512,4,32,False,55,2026-09-07 22:37:30.636455,1788791850636455,Memtable Max Range Deletions,512,16395,228943,51341,foreground
Native-T512,4,33,False,56,2026-09-07 22:37:30.696026,1788791850696026,Memtable Max Range Deletions,513,16908,237192,52230,foreground
Native-T512,4,34,False,57,2026-09-07 22:37:30.765984,1788791850765984,Memtable Max Range Deletions,512,17420,244791,53145,foreground
Native-T512,4,35,False,58,2026-09-07 22:37:30.826444,1788791850826444,Memtable Max Range Deletions,512,17932,242244,52879,foreground
Native-T512,4,36,False,60,2026-09-07 22:37:30.883704,1788791850883704,Memtable Max Range Deletions,514,18446,247988,53740,foreground
Native-T512,4,37,False,61,2026-09-07 22:37:30.944379,1788791850944379,Memtable Max Range Deletions,512,18958,238848,52367,foreground
Native-T512,4,38,False,62,2026-09-07 22:37:31.005192,1788791851005192,Memtable Max Range Deletions,512,19470,240263,52643,foreground
Native-T512,4,39,False,66,2026-09-07 22:37:31.093275,1788791851093275,Memtable Max Range Deletions,512,19982,243376,52990,foreground
Native-T512,4,40,True,ACTIVE_MEMTABLE,N/A (Unflushed),N/A,Remained Below Threshold,18,20000,N/A,0,foreground
Native-T512,5,1,False,3,2026-09-07 22:39:18.240759,1788791958240759,Memtable Max Range Deletions,512,512,5887245,713488,foreground
Native-T512,5,2,False,4,2026-09-07 22:39:18.238975,1788791958238975,Memtable Max Range Deletions,512,1024,240829,52999,foreground
